,spearman_r,spearman_p,MI_with_phlegm,|spearman|,综合得分_痰湿表征
ADL总分,-0.053203517473315774,0.09266007118241282,0.01566316903742404,0.053203517473315774,4.195038000511965
BMI,-0.02202513215730273,0.4866110222310761,0.01776039024758269,0.02202513215730273,2.298024376784298
年龄组,0.05344678664510261,0.09117548426198552,0.0,0.05344678664510261,1.6163047858838473
TC（总胆固醇）,-0.03521366200089205,0.2659206284437446,0.0,0.03521366200089205,0.3036399472616018
空腹血糖,-0.02045921551122343,0.5181267526902146,0.004868965222903032,0.02045921551122343,0.04847185093854933
性别,-0.026992849062222407,0.39383867110139426,0.0,0.026992849062222407,-0.2882044184219783
吸烟史,-0.0208587048894039,0.5099876920970163,0.0016817550961398808,0.0208587048894039,-0.4510632366990095
饮酒史,0.022247838268882356,0.48221438617565804,0.0,0.022247838268882356,-0.6298139312642138
IADL总分,0.02047622118278401,0.517778923306375,0.0,0.02047622118278401,-0.7573586885015375
活动量表总分（ADL总分+IADL总分）,-0.017826971319360417,0.5733817731729224,0.0,0.017826971319360417,-0.9480872230944903
TG（甘油三酯）,-0.0157614110431769,0.6186058991575425,0.0,0.0157614110431769,-1.0967939532633035
HDL-C（高密度脂蛋白）,0.01389841673447479,0.6606774556050736,0.0,0.01389841673447479,-1.2309172684550918
LDL-C（低密度脂蛋白）,0.009876766064914007,0.7550802423656127,0.0,0.009876766064914007,-1.5204496185139327
血尿酸,-0.009622006575595235,0.761203287671917,0.0,0.009622006575595235,-1.5387906231667086
