feature,Spearman|r|,MI,ENet|β|,RF_perm,Wald,Borda_pts,Borda_排名
血尿酸,0.20425767066649722,0.17524390881797958,0.15043605776178756,0.16750000000000004,0.8345064512583479,65,1
空腹血糖,0.04000144850807446,0.0,0.0,0.034600000000000034,0.5881153168060875,54,2
ADL洗澡,0.03912266475510882,0.017039789504156078,0.0,0.015000000000000013,0.5563535159954949,49,3
BMI,0.026488080713721378,0.0,0.0,0.018600000000000016,0.4844380977368537,44,4
IADL服药,0.032502398272983284,0.03919890696278516,0.0,0.01210000000000001,0.5202928576554732,41,5
ADL穿衣,0.026855488659655494,0.0,0.0,0.01200000000000001,0.44988810004906965,33,6
IADL做饭,0.007736552603909747,0.008928018423055795,0.0,0.012200000000000011,0.20495423733028992,33,7
ADL吃饭,0.00205638788920684,0.011413669549184657,0.0,0.01040000000000001,0.13989913685161146,32,8
IADL购物,0.013850589078741813,0.005784468106045271,0.0,0.006800000000000006,0.2841057920814789,29,9
ADL用厕,0.005353549961286511,0.0,0.0,0.008800000000000007,0.12701538795186484,25,10
IADL理财,0.006933892110742134,0.0,0.0,0.006300000000000005,0.2944455379671272,18,11
IADL交通,0.0015239858461408864,0.0027590963585428785,0.0,0.009100000000000007,0.12102574673208898,18,12
ADL步行,0.000287654471670027,0.0,0.0,0.005700000000000005,0.10205353897686456,14,13
