核心组合,支持度,置信度,提升度,组合项数
血脂异常≥2,0.406,1.0,1.536,1
血脂异常≥1 ∧ 血脂异常≥2,0.406,1.0,1.536,2
痰湿≥60 ∧ 血脂异常≥1,0.396,1.0,1.536,2
TG升高 ∧ 血脂异常≥2,0.309,1.0,1.536,2
TG升高 ∧ 血脂异常≥1 ∧ 血脂异常≥2,0.309,1.0,1.536,3
TC升高 ∧ 血脂异常≥2,0.273,1.0,1.536,2
TC升高 ∧ 血脂异常≥1 ∧ 血脂异常≥2,0.273,1.0,1.536,3
TG升高 ∧ 痰湿≥60,0.252,1.0,1.536,2
TG升高 ∧ 痰湿≥60 ∧ 血脂异常≥1,0.252,1.0,1.536,3
年龄≥60 ∧ 痰湿≥60 ∧ 血脂异常≥1,0.241,1.0,1.536,3
年龄≥60 ∧ 血脂异常≥2,0.237,1.0,1.536,2
年龄≥60 ∧ 血脂异常≥1 ∧ 血脂异常≥2,0.237,1.0,1.536,3
TC升高 ∧ 痰湿≥60 ∧ 血脂异常≥1,0.23,1.0,1.536,3
HDL偏低,0.122,1.0,1.536,1
