,Logistic_|beta|,GBDT_importance
TG（甘油三酯）,4.066504794678275,0.27607304656485
TC（总胆固醇）,2.8822999095340944,0.7239269534351469
HDL-C（高密度脂蛋白）,0.7709696235901934,1.1211244315395289e-15
血尿酸,0.6947265742674636,3.235511480820286e-17
LDL-C（低密度脂蛋白）,0.6791871474803951,2.2630536167098964e-16
性别,0.37354538123058734,0.0
平和质,0.26149227251859325,0.0
气虚质,0.23268067244530558,2.3134736706193463e-16
饮酒史,0.17386593804421316,0.0
血瘀质,0.15279630843672892,1.4654378153130646e-16
吸烟史,0.14990951847868017,0.0
痰湿质,0.1479771429794078,3.398116673189716e-16
湿热质,0.1015430178013449,0.0
BMI,0.09948437514725506,2.8636039544207416e-16
气郁质,0.09235217666832492,0.0
ADL总分,0.08714210272079219,6.514785328464488e-17
特禀质,0.06842379947299561,4.01286385454557e-17
IADL总分,0.06805904638428677,4.523410973852443e-16
年龄组,0.06149555662549311,0.0
阴虚质,0.04435525869375909,-4.9777099704927486e-18
阳虚质,0.041769362335166066,0.0
空腹血糖,0.017341055063057803,2.0979595693552202e-16
活动量表总分（ADL总分+IADL总分）,0.011399626593077536,8.238110001165496e-18
