样本,tau,n_Pareto,n_ED,S6,总成本,降幅,RMS,f序列
1,1.0,21,13,38.81,1000,39.4%,0.00,"(10, 10, 10, 10, 10, 10)"
1,1.5,25,20,38.81,1000,39.4%,0.00,"(10, 10, 10, 10, 10, 10)"
1,2.0,25,19,38.81,1000,39.4%,0.00,"(10, 10, 10, 10, 10, 10)"
1,2.5,26,25,38.81,1000,39.4%,0.00,"(10, 10, 10, 10, 10, 10)"
1,∞,26,26,38.81,1000,39.4%,0.00,"(10, 10, 10, 10, 10, 10)"
2,1.0,77,27,37.10,840,36.0%,1.00,"(7, 8, 10, 10, 10, 10)"
2,1.5,71,29,37.50,828,35.4%,1.26,"(10, 10, 10, 10, 8, 6)"
2,2.0,74,28,37.48,828,35.4%,1.84,"(10, 10, 10, 10, 9, 5)"
2,2.5,74,37,37.08,840,36.1%,2.24,"(10, 10, 10, 10, 10, 5)"
2,∞,74,37,37.08,840,36.1%,3.16,"(10, 10, 5, 10, 10, 10)"
3,1.0,123,29,37.34,902,36.7%,1.00,"(7, 9, 10, 10, 10, 10)"
3,1.5,119,40,37.74,890,36.0%,1.41,"(6, 9, 10, 10, 10, 10)"
3,2.0,119,38,38.13,878,35.4%,1.84,"(5, 9, 10, 10, 10, 10)"
3,2.5,119,43,37.72,890,36.1%,2.24,"(5, 10, 10, 10, 10, 10)"
3,∞,119,43,37.72,890,36.1%,2.24,"(5, 10, 10, 10, 10, 10)"
