方案,特征数,AUC,PR_AUC,Brier分数,F1,相对全特征AUC变化
去体质,18,0.9013895742334802,0.9759128281244512,0.10007404368899557,0.8955974842767296,0.006518388556877586
全特征,27,0.8948711856766026,0.9740279854232883,0.10317912417806094,0.8918073796122576,0.0
去活动,16,0.8902169344079536,0.9730469923457972,0.10481858630841916,0.8848560700876095,-0.004654251268649046
仅代谢,3,0.8496384426534107,0.9608068315296394,0.12040403268087804,0.8802858844550328,-0.04523274302319191
去人口学,23,0.8457883290385073,0.9598062876986807,0.12214119435859205,0.8864037669217186,-0.04908285663809531
仅活动/功能,11,0.5171214308776675,0.7979171723304168,0.16444784381640742,0.8845510317902956,-0.37774975479893513
仅人口学,4,0.5157446497432242,0.8159106349512223,0.1638045775302786,0.8845510317902956,-0.3791265359333784
仅体质,9,0.4832319023338268,0.7789849779900674,0.1644999365355602,0.8845510317902956,-0.41163928334277583
去代谢,24,0.4676243215088547,0.7726623905841074,0.16521465267375612,0.8845510317902956,-0.42724686416774793
