特征,置换重要性,风险方向,证据来源,临床含义
血尿酸,0.4051221131762829,值越高风险越高,最终主模型置换重要性 + 分位数风险表,尿酸异常提示代谢背景恶化，是轨道A最稳定的早筛信号
性别,0.04861743151123058,值越低风险越高,最终主模型置换重要性 + 分位数风险表,基础人口学变量提供分层修正信息
ADL洗澡,0.006664189272885035,值越高风险越高,最终主模型置换重要性 + 分位数风险表,活动能力下降反映功能受限与生活方式风险累积
BMI,0.006076925107573761,值越高风险越高,最终主模型置换重要性 + 分位数风险表,BMI偏离正常范围会放大代谢性风险
年龄组,0.005709783471722255,值越低风险越高,最终主模型置换重要性 + 分位数风险表,基础人口学变量提供分层修正信息
气虚质,0.0056431781307049326,值越高风险越高,最终主模型置换重要性 + 分位数风险表,体质偏颇提供慢性易感背景，不直接等同于诊断标准
阳虚质,0.0054173697794511165,值越高风险越高,最终主模型置换重要性 + 分位数风险表,体质偏颇提供慢性易感背景，不直接等同于诊断标准
空腹血糖,0.004599423701348241,值越低风险越高,最终主模型置换重要性 + 分位数风险表,空腹血糖偏离正常范围提示糖脂代谢共病风险
ADL穿衣,0.004194105833450146,值越高风险越高,最终主模型置换重要性 + 分位数风险表,活动能力下降反映功能受限与生活方式风险累积
湿热质,0.0033680371527841906,值越低风险越高,最终主模型置换重要性 + 分位数风险表,体质偏颇提供慢性易感背景，不直接等同于诊断标准
ADL吃饭,0.002869715485538804,值越低风险越高,最终主模型置换重要性 + 分位数风险表,活动能力下降反映功能受限与生活方式风险累积
痰湿质,0.002708075694533374,值越低风险越高,最终主模型置换重要性 + 分位数风险表,体质偏颇提供慢性易感背景，不直接等同于诊断标准
IADL做饭,0.0026305048400558696,值越低风险越高,最终主模型置换重要性 + 分位数风险表,活动能力下降反映功能受限与生活方式风险累积
平和质,0.0022296544035674826,值越高风险越高,最终主模型置换重要性 + 分位数风险表,体质偏颇提供慢性易感背景，不直接等同于诊断标准
特禀质,0.002174826836266671,值越低风险越高,最终主模型置换重要性 + 分位数风险表,体质偏颇提供慢性易感背景，不直接等同于诊断标准
血瘀质,0.002102535673455197,值越低风险越高,最终主模型置换重要性 + 分位数风险表,体质偏颇提供慢性易感背景，不直接等同于诊断标准
活动量表总分（ADL总分+IADL总分）,0.0018129648920811074,值越高风险越高,最终主模型置换重要性 + 分位数风险表,活动能力下降反映功能受限与生活方式风险累积
IADL交通,0.0016553864023572359,值越低风险越高,最终主模型置换重要性 + 分位数风险表,活动能力下降反映功能受限与生活方式风险累积
气郁质,0.0015258308914759989,值越低风险越高,最终主模型置换重要性 + 分位数风险表,体质偏颇提供慢性易感背景，不直接等同于诊断标准
阴虚质,0.001509585686349831,值越低风险越高,最终主模型置换重要性 + 分位数风险表,体质偏颇提供慢性易感背景，不直接等同于诊断标准
IADL服药,0.0014515090780237827,值越高风险越高,最终主模型置换重要性 + 分位数风险表,活动能力下降反映功能受限与生活方式风险累积
ADL步行,0.0014283596607189623,值越高风险越高,最终主模型置换重要性 + 分位数风险表,活动能力下降反映功能受限与生活方式风险累积
IADL购物,0.0011391950094730523,值越低风险越高,最终主模型置换重要性 + 分位数风险表,活动能力下降反映功能受限与生活方式风险累积
饮酒史,0.0010949268255042424,值越低风险越高,最终主模型置换重要性 + 分位数风险表,基础人口学变量提供分层修正信息
吸烟史,0.0008987659736056531,值越低风险越高,最终主模型置换重要性 + 分位数风险表,基础人口学变量提供分层修正信息
IADL理财,0.00046501899673683975,值越低风险越高,最终主模型置换重要性 + 分位数风险表,活动能力下降反映功能受限与生活方式风险累积
ADL用厕,0.00038298071084963414,值越低风险越高,最终主模型置换重要性 + 分位数风险表,活动能力下降反映功能受限与生活方式风险累积
